# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-236 b,Confirmed,,,,,,,0.14,0.011,0.011,8.295611,3.2e-05,3.2e-05,0.065,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-236,283.8663636,39.89809,,,13.224,12.537,12.312,,,,0.119,,,0.56,,,0.51,0.02,0.02,,,,,3750.0,150.0,150.0,,,
Kepler-236 c,Confirmed,,,,,,,0.178,0.015,0.015,23.968127,0.000174,0.000174,0.132,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-236,283.8663636,39.89809,,,13.224,12.537,12.312,,,,0.119,,,0.56,,,0.51,0.02,0.02,,,,,3750.0,150.0,150.0,,,
Kepler-237 b,Confirmed,,,,,,,0.126,0.067,0.067,4.715106,3e-05,3e-05,0.05,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-237,283.22137455,40.421833,,,13.749,13.223,13.172,,,,-0.077,,,0.7,,,0.72,0.38,0.38,,,,,4861.0,200.0,200.0,,,
Kepler-237 c,Confirmed,,,,,,,0.186,0.098,0.098,8.103636,3.2e-05,3.2e-05,0.071,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-237,283.22137455,40.421833,,,13.749,13.223,13.172,,,,-0.077,,,0.7,,,0.72,0.38,0.38,,,,,4861.0,200.0,200.0,,,
Kepler-238 b,Confirmed,,,,,,,0.154,0.036,0.036,2.090876,2e-05,2e-05,0.034,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-238 c,Confirmed,,,,,,,0.213,0.04,0.04,6.155557,5e-05,5e-05,0.069,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-238 d,Confirmed,,,,,,,0.274,0.051,0.051,13.233549,8.1e-05,8.1e-05,0.115,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-238 e,Confirmed,0.626,3.54,0.048,,,,0.501,0.724,0.501,23.654,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-238 f,Confirmed,0.056,0.294,0.0047,,,,0.179,0.258,0.179,50.447,,,,,,,,,,,,,2013,2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-238,287.8958,40.6378,,,,,,,,,0.143,,,1.43,5.82,1.31,0.9,0.3,0.3,,,,,5614.0,,,,,
Kepler-239 b,Confirmed,,,,,,,0.208,0.013,0.013,11.763051,3.4e-05,3.4e-05,0.095,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-239,294.2021484,40.663406,,,13.703,13.215,13.133,,,,-0.016,,,0.74,,,0.76,0.04,0.04,,,,,4914.0,100.0,100.0,,,
Kepler-239 c,Confirmed,,,,,,,0.224,0.037,0.037,56.228098,0.00058,0.00058,0.268,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-239,294.2021484,40.663406,,,13.703,13.215,13.133,,,,-0.016,,,0.74,,,0.76,0.04,0.04,,,,,4914.0,100.0,100.0,,,
Kepler-24 b,Confirmed,1.6,inf,nan,,,,0.21,,,8.1453,,,0.08,,,,,,,,,,2012,2012-01-29,,,,,,,,,,2454973.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-24 c,Confirmed,1.6,inf,nan,,,,0.25,,,12.3335,,,0.106,,,,,,,,,,2012,2012-01-29,,,,,,,,,,2454970.586,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-24 d,Candidate,,,,,,,0.16505,0.03613,0.0091,4.2443,,,0.052,,,,,,,,,,2012,2020-03-23,,,,,,,,,,2454970.0712,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,,Primary Transit,"KIC 3231341 d, KOI-1102 d",,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-24 e,Candidate,,,,,,,0.15,,,18.9981,,,0.141,,,,,,,,,,2012,2020-03-23,,,,,,,,,,2454977.7512,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,,,"KOI-1102 e, KIC 3231341 e",,Kepler-24,290.4125,38.3438889,15.5,,,,,,,,,,,1.03,0.14,0.14,1.07,0.23,0.23,,,,,5800.0,200.0,200.0,,,
Kepler-240 b,Confirmed,,,,,,,0.122,0.05,0.05,4.144495,2.6e-05,2.6e-05,0.048,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-240,291.15878295,40.750263,,,14.113,13.606,13.464,,,,0.089,,,,,,0.74,0.3,0.3,,,,,4985.0,200.0,200.0,,,
Kepler-240 c,Confirmed,,,,,,,0.196,0.079,0.079,7.953528,2.5e-05,2.5e-05,0.074,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-240,291.15878295,40.750263,,,14.113,13.606,13.464,,,,0.089,,,,,,0.74,0.3,0.3,,,,,4985.0,200.0,200.0,,,
Kepler-241 b,Confirmed,,,,,,,0.208,0.092,0.092,12.718092,3.5e-05,3.5e-05,0.094,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-241,292.9131165,41.060921,,,13.608,13.064,12.881,,,,-0.243,,,,,,0.67,0.29,0.29,,,,,4699.0,200.0,200.0,,,
Kepler-241 c,Confirmed,,,,,,,0.229,0.099,0.099,36.065978,0.000133,0.000133,0.189,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-241,292.9131165,41.060921,,,13.608,13.064,12.881,,,,-0.243,,,,,,0.67,0.29,0.29,,,,,4699.0,200.0,200.0,,,
Kepler-242 b,Confirmed,,,,,,,0.233,0.143,0.143,8.20395,2e-05,2e-05,0.075,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-242,286.56570435,41.808403,,,13.821,13.316,13.238,,,,0.103,,,,,,0.85,0.52,0.52,,,,,5020.0,200.0,200.0,,,
Kepler-242 c,Confirmed,,,,,,,0.178,0.11,0.11,14.496481,8.3e-05,8.3e-05,0.109,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-242,286.56570435,41.808403,,,13.821,13.316,13.238,,,,0.103,,,,,,0.85,0.52,0.52,,,,,5020.0,200.0,200.0,,,
Kepler-243 b,Confirmed,,,,,,,0.219,0.103,0.103,5.715442,1.1e-05,1.1e-05,0.062,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-243,285.11047365,42.033958,,,13.622,13.191,13.064,,,,0.241,,,0.89,,,0.84,0.4,0.4,,,,,5228.0,200.0,200.0,,,
Kepler-243 c,Confirmed,,,,,,,0.178,0.087,0.087,20.026218,0.000163,0.000163,0.142,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-243,285.11047365,42.033958,,,13.622,13.191,13.064,,,,0.241,,,0.89,,,0.84,0.4,0.4,,,,,5228.0,200.0,200.0,,,
Kepler-244 b,Confirmed,,,,,,,0.246,0.103,0.103,4.311792,8e-06,8e-06,0.05,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-244,287.2426758,42.301369,,,14.306,13.852,13.73,,,,-0.191,,,,,,0.8,0.34,0.34,,,,,5554.0,200.0,200.0,,,
Kepler-244 c,Confirmed,,,,,,,0.183,0.078,0.078,9.767292,4.6e-05,4.6e-05,0.087,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-244,287.2426758,42.301369,,,14.306,13.852,13.73,,,,-0.191,,,,,,0.8,0.34,0.34,,,,,5554.0,200.0,200.0,,,
Kepler-244 d,Confirmed,,,,,,,0.206,0.087,0.087,20.050401,0.00013,0.00013,0.14,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-244,287.2426758,42.301369,,,14.306,13.852,13.73,,,,-0.191,,,,,,0.8,0.34,0.34,,,,,5554.0,200.0,200.0,,,
