pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-562 b,Transit,0,1,18.00931444,0.0000099,-0.0000099,0,,,,,,,,,,,,,,,,,,0.465,0.057,-0.036,0,,,,,0,1,0,1,19h20m28.71s,290.119627,+46d16m25.7s,46.273811,822,102.89,-61.13,0,1021.74,23.6,-23.6,0,14.794,,0,Kepler-band,14.743,,0,5575,83.81,-85.33,0,0.93,0.05,-0.05,0,0.9,0.11,-0.06,0,10/05/2016,Kepler
Kepler-563 b,Transit,0,1,22.18432708,0.000025,-0.000025,0,,,,,,,,,,,,,,,,,,0.276,0.015,-0.018,0,,,,,0,1,0,1,19h29m47.11s,292.446272,+46d17m23.2s,46.289776,557,30.85,-36.83,0,574.48,7.7,-7.7,0,14.767,,0,Kepler-band,14.739,,0,5066,80,-61.96,0,0.8,0.04,-0.05,0,0.77,0.04,-0.05,0,10/05/2016,Kepler
Kepler-564 b,Transit,0,1,3.75083228,0.00000122,-0.00000122,0,,,,,,,,,,,,,,,,,,0.413,0.059,-0.032,0,,,,,0,1,0,1,19h47m21.21s,296.838379,+46d37m35.1s,46.626404,830,121.44,-68.27,0,884.83,15.45,-15.45,0,14.749,,0,Kepler-band,14.719,,0,5626,144.83,-126.35,0,0.95,0.06,-0.06,0,0.92,0.13,-0.07,0,10/05/2016,Kepler
Kepler-565 b,Transit,0,1,4.24374723,0.00000293,-0.00000293,0,,,,,,,,,,,,,,,,,,0.325,0.045,-0.024,0,,,,,0,1,0,1,18h54m28.31s,283.617946,+47d11m48.1s,47.196686,1041,144.14,-81.93,0,,,,,15,,0,Kepler-band,,,,5735,80.65,-75.3,0,0.98,0.04,-0.06,0,0.95,0.13,-0.07,0,10/05/2016,Kepler
Kepler-566 b,Transit,0,1,18.42794624,0.0000423,-0.0000423,0,,,,,,,,,,,,,,,,,,0.192,0.012,-0.012,0,,,,,0,1,0,1,19h26m13.08s,291.554496,+47d48m52.1s,47.81448,628,36.54,-36.05,0,573.48,8.78,-8.78,0,14.958,,0,Kepler-band,14.964,,0,5132,59.73,-80.24,0,0.83,0.04,-0.05,0,0.79,0.04,-0.04,0,10/05/2016,Kepler
Kepler-567 b,Transit,0,1,16.54297375,0.00004149,-0.00004149,0,,,,,,,,,,,,,,,,,,0.201,0.013,-0.011,0,,,,,0,1,0,1,19h50m41.43s,297.672615,+48d18m08.3s,48.302315,568,34.35,-28.95,0,567.9,6.44,-6.44,0,14.687,,0,Kepler-band,14.669,,0,5148,106.09,-92.59,0,0.84,0.04,-0.04,0,0.79,0.04,-0.04,0,10/05/2016,Kepler
Kepler-568 b,Transit,0,1,11.02347475,0.00000766,-0.00000766,0,,,,,,,,,,,,,,,,,,0.202,0.007,-0.007,0,,,,,0,1,0,1,19h52m25.37s,298.105708,+48d24m04.1s,48.40115,126,6.08,-5.58,0,131.14,0.5,-0.5,0,14.273,,0,Kepler-band,14.251,,0,3768,40.66,-39.79,0,0.55,0.02,-0.02,0,0.53,0.02,-0.02,0,10/05/2016,Kepler
Kepler-569 b,Transit,0,1,34.18890521,0.00006016,-0.00006016,0,,,,,,,,,,,,,,,,,,0.282,0.02,-0.015,0,,,,,0,1,0,1,18h54m01.75s,283.507278,+48d33m09.4s,48.552605,645,44.7,-34.78,0,650.24,7.31,-7.31,0,14.106,,0,Kepler-band,14.082,,0,5616,66.28,-55.02,0,0.95,0.03,-0.04,0,0.93,0.07,-0.05,0,10/05/2016,Kepler
Kepler-57 b,Transit,0,2,5.7293196,0.000018,-0.000018,0,,,,,,,,,,,,,18.86,,,1,Mass,0.195,,,0,,,,,1,1,0,1,19h34m33.91s,293.641285,+44d39m25.3s,44.65704,656.23,8.89,-8.89,0,656.23,8.89,-8.89,0,14.809,,0,Kepler-band,14.774,,0,5145,,,0,0.83,,,0,0.73,,,0,14/05/2014,Kepler
Kepler-57 c,Transit,0,2,11.6092567,0.000086,-0.000086,0,,,,,,,,,,,,,6.95,,,1,Mass,0.138,,,0,,,,,1,1,0,1,19h34m33.91s,293.641285,+44d39m25.3s,44.65704,656.23,8.89,-8.89,0,656.23,8.89,-8.89,0,14.809,,0,Kepler-band,14.774,,0,5145,,,0,0.83,,,0,0.73,,,0,14/05/2014,Kepler
