kepid,kepoi_name,kepler_name,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_model_snr,koi_smet,koi_smet_err1,koi_smet_err2
7935997,K05447.02,Kepler-1629 b,0,,,0.025,0.443,-0.025,0.0485,,,12.897,0.281,-0.281,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2602,0.4096,q1_q17_dr25_koi,14.2,0.07,0.15,-0.15
8105398,K05475.02,,0,,,0.844,0.12,-0.62,0.0584,,,13.43,6.6,-6.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3001,0.3078,q1_q17_dr25_koi,10,-0.76,0.3,-0.2
10535708,K05801.02,,0,,,0.041,0.425,-0.041,0.0184,,,2.25,1,-1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2329,0.4554,q1_q17_dr25_koi,9.7,0.14,0.15,-0.1
11453930,K05900.02,,0,,,0.4062,0.3387,-0.3037,0.0168,,,26.03,4.7,-4.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3195,0.2688,q1_q17_dr24_koi,11,-0.14,0.24,-0.36
4737267,K06117.01,,0,,,0.313,0.005,-0.002,0.0911,,,9.5761,0.0141,-0.0141,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.236,0.4473,q1_q17_dr25_koi,1942.5,-0.46,0.15,-0.15
5955321,K06140.01,,0,,,0.473,0.004,-0.002,0.104,,,11.9984,0.0313,-0.0313,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3032,0.3147,q1_q17_dr25_koi,2637,-0.2,0.25,-0.3
6182093,K06143.02,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
4758350,K06447.02,,0,,,0.2136,0.2282,-0.2135,0.4363,,,67.4,24.3,-24.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3164,0.2771,q1_q17_dr24_koi,8.7,-0.16,0.24,-0.32
4862625,K06464.03,,0,,,0.041,0.524,-0.041,1.3418,,,407,115,-115,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3032,0.3147,q1_q17_dr25_koi,25.9,-0.24,0.25,-0.3
10621666,K01636.02,,0,,,0.0133,0.4327,-0.0133,0.1128,,,41.3,18.7,-18.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2949,0.3363,q1_q17_dr24_koi,9.3,-0.42,0.28,-0.28
5211470,K06541.02,,0,,,1.196,3.516,-0.108,0.0224,,,1.537,0.764,-0.764,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1557,0.5667,q1_q17_dr25_koi,36.1,-0.42,0.3,-0.25
6665064,K06751.02,,0,,,1.247,4.316,-0.149,0.0156,,,1.6,0.8,-0.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2602,0.4096,q1_q17_dr25_koi,26.1,0.14,0.15,-0.15
3123418,K07542.01,,0,,,0.0504,0.3628,-0.0504,1.3194,,,282.7,18.8,-18.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2796,0.3694,q1_q17_dr24_koi,16.3,-0.18,0.26,-0.28
3458687,K07543.01,,0,,,1.01,0.08,-0.025,0.0241,,,1.02,0.245,-0.245,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3038,0.292,q1_q17_dr25_koi,25.2,-0.42,0.4,-0.3
3749508,K07544.01,,0,,,1.007,,,0.0503,,,4.037357,,,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3092,0.3148,q1_q17_dr25_koi,1.4,0.07,0.2,-0.5
3955867,K07545.01,,0,,,0.306,0.037,-0.055,0.1949,,,6.769,0.327,-0.327,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1383,0.5921,q1_q17_dr25_koi,519.2,-0.32,0.15,-0.1
3965201,K07546.01,,0,,,0.032,0.419,-0.032,0.3101,,,86.26,3.3,-3.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2862,0.2926,q1_q17_dr24_koi,6.6,-0.12,0.26,-0.34
4074294,K07547.01,,0,,,0.71,0.225,-0.432,0.0208,,,2.166,0.827,-0.827,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3044,0.3135,q1_q17_dr25_koi,43.8,-0.08,0.3,-0.25
4380560,K07548.01,,0,,,1.133,0.118,-0.115,0.0158,,,1.15,0.313,-0.313,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2916,0.3447,q1_q17_dr25_koi,19.6,-0.16,0.25,-0.35
4384652,K07549.01,,0,,,0.0139,0.224,-0.0139,0.937,,,912,338,-338,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3051,0.3243,q1_q17_dr24_koi,105.8,-0.74,0.34,-0.28
7697568,K01829.02,,0,,,0.093,0.3991,-0.093,0.0884,,,38.2,18.8,-18.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2223,0.4689,q1_q17_dr24_koi,8.4,-0.06,0.3,-0.26
4483235,K07550.01,,0,,,0.29,0.194,-0.29,0.0361,,,2.58,0.474,-0.474,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2905,0.2434,q1_q17_dr25_koi,26.1,0.07,0.25,-0.6
4662363,K07551.01,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
4680745,K07552.01,,0,,,1.0653,0.0302,-0.0666,0.0266,,,1.0744,0.0931,-0.0931,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3116,0.2872,q1_q17_dr24_koi,66.6,-0.36,0.26,-0.3
4851195,K07553.01,,0,,,1.0492,6.248,-0.4359,1.0721,,,788,379,-379,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3109,0.3001,q1_q17_dr24_koi,130.3,-0.1,0.2,-0.32
4862924,K07554.01,,0,,,0.1786,0.2704,-0.1786,1.2328,,,287,42.5,-42.5,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3047,0.311,q1_q17_dr24_koi,8.1,-0.16,0.23,-0.3
5024414,K07555.01,,0,,,0.208,0.238,-0.208,0.0357,,,5.9094,0.0768,-0.0768,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1697,0.5559,q1_q17_dr25_koi,11.9,0.07,0.15,-0.5
5177065,K07556.01,,0,,,0.2204,0.2742,-0.2202,0.0238,,,1.38,0.568,-0.568,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3097,0.296,q1_q17_dr24_koi,9.7,-0.2,0.22,-0.3
5268955,K07557.01,,0,,,0.706,0.238,-0.572,0.1074,,,7.71,3.8,-3.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2678,0.3958,q1_q17_dr25_koi,13.7,,,
5271090,K07558.01,,0,,,0.2256,0.2843,-0.2254,0.083,,,42.4,21.2,-21.2,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2209,0.4713,q1_q17_dr24_koi,6.8,-0.3,0.37,-0.26
